Designator,Mid X,Mid Y,Rotation,Layer
C1,136.2075,-19.05,0.0,top
C10,32.54375,-69.5325,180.0,top
C100,33.655,-118.4275,90.0,top
C101,4.445,-16.03375,270.0,top
C102,14.605,-41.75125,90.0,top
C103,4.445,-63.65875,270.0,top
C104,14.605,-118.4275,90.0,top
C105,43.625,-85.125,0.0,top
C11,35.8775,-85.09,270.0,top
C12,29.05125,-79.53375,180.0,top
C13,27.78125,-81.28,180.0,top
C14,27.78125,-82.8675,180.0,top
C15,20.32,-66.83375,270.0,top
C16,5.715,-104.29875,90.0,top
C17,3.65125,-107.95,0.0,top
C18,332.89875,-16.03375,270.0,top
C19,343.37625,-41.75125,90.0,top
C2,25.545,-73.18375,90.0,top
C20,327.9775,-63.8175,270.0,top
C21,336.2325,-79.85125,90.0,top
C22,320.83375,-101.9175,270.0,top
C23,340.995,-117.7925,90.0,top
C24,324.32625,-42.2275,90.0,top
C25,304.32375,-63.65875,270.0,top
C26,310.1975,-80.3275,90.0,top
C27,317.1825,-118.4275,90.0,top
C28,294.79875,-16.03375,270.0,top
C29,305.1175,-42.2275,90.0,top
C3,122.71375,-20.79625,90.0,top
C30,285.27375,-63.65875,270.0,top
C31,290.83,-80.3275,90.0,top
C32,290.195,-101.75875,270.0,top
C33,293.21125,-118.4275,90.0,top
C34,275.59,-16.03375,270.0,top
C35,286.0675,-42.2275,90.0,top
C36,266.3825,-63.65875,270.0,top
C37,271.78,-80.3275,90.0,top
C38,271.145,-101.75875,270.0,top
C39,256.69875,-16.03375,270.0,top
C4,25.55875,-75.235,270.0,top
C40,267.0175,-42.2275,90.0,top
C41,247.3325,-63.65875,270.0,top
C42,252.73,-80.3275,90.0,top
C43,252.095,-101.75875,270.0,top
C44,237.8075,-16.03375,270.0,top
C45,247.9675,-42.2275,90.0,top
C46,228.2825,-63.65875,270.0,top
C47,233.68,-80.3275,90.0,top
C48,233.045,-101.75875,270.0,top
C49,221.77375,-118.4275,90.0,top
C5,50.00625,-68.73875,90.0,top
C50,209.2325,-16.03375,270.0,top
C51,228.9175,-42.2275,90.0,top
C52,209.2325,-63.65875,270.0,top
C53,214.63,-80.3275,90.0,top
C54,213.995,-101.75875,270.0,top
C55,190.1825,-16.03375,270.0,top
C56,209.8675,-42.2275,90.0,top
C57,190.1825,-63.65875,270.0,top
C58,195.58,-80.3275,90.0,top
C59,194.945,-101.75875,270.0,top
C6,46.51375,-83.66125,270.0,top
C60,171.1325,-16.03375,270.0,top
C61,190.8175,-42.2275,90.0,top
C62,171.1325,-63.65875,270.0,top
C63,176.53,-80.3275,90.0,top
C64,175.41875,-101.75875,270.0,top
C65,151.92375,-16.03375,270.0,top
C66,171.7675,-42.2275,90.0,top
C67,152.0825,-63.65875,270.0,top
C68,157.48,-80.3275,90.0,top
C69,156.845,-101.75875,270.0,top
C7,24.13,-76.99375,180.0,top
C70,150.33625,-118.4275,90.0,top
C71,123.34875,-16.03375,270.0,top
C72,152.7175,-42.2275,90.0,top
C73,133.0325,-63.65875,270.0,top
C74,138.43,-80.3275,90.0,top
C75,137.795,-101.75875,270.0,top
C76,126.52375,-118.4275,90.0,top
C77,104.29875,-16.03375,270.0,top
C78,133.6675,-42.2275,90.0,top
C79,113.9825,-63.65875,270.0,top
C8,47.625,-71.4375,0.0,top
C80,119.38,-80.3275,90.0,top
C81,118.745,-101.75875,270.0,top
C82,102.71125,-118.4275,90.0,top
C83,85.4075,-16.03375,270.0,top
C84,114.6175,-42.2275,90.0,top
C85,94.9325,-63.65875,270.0,top
C86,66.3575,-16.03375,270.0,top
C87,86.0425,-42.2275,90.0,top
C88,71.12,-63.65875,270.0,top
C89,88.42375,-80.3275,90.0,top
C9,30.7975,-71.755,180.0,top
C90,83.02625,-101.75875,270.0,top
C91,78.89875,-118.4275,90.0,top
C92,42.545,-16.03375,270.0,top
C93,52.705,-41.75125,90.0,top
C94,42.545,-63.65875,270.0,top
C95,52.705,-118.4275,90.0,top
C96,23.495,-16.03375,270.0,top
C97,33.655,-42.2275,90.0,top
C98,23.495,-63.65875,270.0,top
C99,23.495,-101.75875,270.0,top
D1,129.69875,-23.8125,180.0,top
D10,296.545,-76.835,90.0,top
D100,300.0375,-43.18,0.0,top
D101,290.5125,-62.23,180.0,top
D102,285.75,-81.28,0.0,top
D103,295.275,-100.33,180.0,top
D104,288.13125,-119.38,0.0,top
D105,280.9875,-14.605,180.0,top
D106,280.9875,-43.18,0.0,top
D107,271.4625,-62.23,180.0,top
D108,266.7,-81.28,0.0,top
D109,276.225,-100.33,180.0,top
D11,303.68875,-114.935,90.0,top
D110,261.9375,-14.605,180.0,top
D111,261.9375,-43.18,0.0,top
D112,252.4125,-62.23,180.0,top
D113,247.65,-81.28,0.0,top
D114,257.175,-100.33,180.0,top
D115,242.8875,-14.605,180.0,top
D116,242.8875,-43.18,0.0,top
D117,233.3625,-62.23,180.0,top
D118,228.6,-81.28,0.0,top
D119,238.125,-100.33,180.0,top
D12,291.7825,-10.16,90.0,top
D120,216.69375,-119.38,0.0,top
D121,214.3125,-14.605,180.0,top
D122,223.8375,-43.18,0.0,top
D123,214.3125,-62.23,180.0,top
D124,209.55,-81.28,0.0,top
D125,219.075,-100.33,180.0,top
D126,195.2625,-14.605,180.0,top
D127,204.7875,-43.18,0.0,top
D128,195.2625,-62.23,180.0,top
D129,190.5,-81.28,0.0,top
D13,291.7825,-38.735,90.0,top
D130,200.025,-100.33,180.0,top
D131,176.2125,-14.605,180.0,top
D132,185.7375,-43.18,0.0,top
D133,176.2125,-62.23,180.0,top
D134,171.45,-81.28,0.0,top
D135,180.975,-100.33,180.0,top
D136,157.1625,-14.605,180.0,top
D137,166.6875,-43.18,0.0,top
D138,157.1625,-62.23,180.0,top
D139,152.4,-81.28,0.0,top
D14,282.2575,-57.785,90.0,top
D140,161.925,-100.33,180.0,top
D141,145.25625,-119.38,0.0,top
D142,128.5875,-14.605,180.0,top
D143,147.6375,-43.18,0.0,top
D144,138.1125,-62.23,180.0,top
D145,133.35,-81.28,0.0,top
D146,142.875,-100.33,180.0,top
D147,121.44375,-119.38,0.0,top
D148,109.5375,-14.605,180.0,top
D149,128.5875,-43.18,0.0,top
D15,277.495,-76.835,90.0,top
D150,119.0625,-62.23,180.0,top
D151,114.3,-81.28,0.0,top
D152,123.825,-100.33,180.0,top
D153,97.63125,-119.38,0.0,top
D154,90.4875,-14.605,180.0,top
D155,109.5375,-43.18,0.0,top
D156,100.0125,-62.23,180.0,top
D157,71.4375,-14.605,180.0,top
D158,80.9625,-43.18,0.0,top
D159,76.2,-62.23,180.0,top
D16,287.02,-95.885,90.0,top
D160,83.34375,-81.28,0.0,top
D161,88.10625,-100.33,180.0,top
D162,73.81875,-119.38,0.0,top
D163,47.625,-14.605,180.0,top
D164,47.625,-43.18,0.0,top
D165,47.625,-62.23,180.0,top
D166,47.625,-119.38,0.0,top
D167,28.575,-14.605,180.0,top
D168,28.575,-43.18,0.0,top
D169,28.575,-62.23,180.0,top
D17,296.38625,-114.935,90.0,top
D170,28.575,-100.33,180.0,top
D171,28.575,-119.38,0.0,top
D172,9.525,-14.605,180.0,top
D173,9.525,-43.18,0.0,top
D174,9.525,-62.23,180.0,top
D175,9.525,-119.38,0.0,top
D18,272.7325,-10.16,90.0,top
D19,272.7325,-38.735,90.0,top
D2,329.8825,-10.16,90.0,top
D20,263.2075,-57.785,90.0,top
D21,258.445,-76.835,90.0,top
D22,267.97,-95.885,90.0,top
D23,253.6825,-10.16,90.0,top
D24,253.6825,-38.735,90.0,top
D25,244.1575,-57.785,90.0,top
D26,239.395,-76.835,90.0,top
D27,248.92,-95.885,90.0,top
D28,234.6325,-10.16,90.0,top
D29,234.6325,-38.735,90.0,top
D3,329.8825,-38.735,90.0,top
D30,225.1075,-57.785,90.0,top
D31,236.855,-76.835,90.0,top
D32,229.87,-95.885,90.0,top
D33,208.43875,-114.935,90.0,top
D34,206.0575,-10.16,90.0,top
D35,215.5825,-38.735,90.0,top
D36,206.0575,-57.785,90.0,top
D37,201.295,-76.835,90.0,top
D38,210.82,-95.885,90.0,top
D39,203.5175,-10.16,90.0,top
D4,317.8175,-53.81625,90.0,top
D40,196.5325,-38.735,90.0,top
D41,187.0075,-57.785,90.0,top
D42,182.245,-76.835,90.0,top
D43,191.77,-95.885,90.0,top
D44,167.9575,-10.16,90.0,top
D45,177.4825,-38.735,90.0,top
D46,167.9575,-57.785,90.0,top
D47,163.195,-76.835,90.0,top
D48,172.72,-95.885,90.0,top
D49,165.4175,-10.16,90.0,top
D5,322.73875,-76.835,90.0,top
D50,158.4325,-38.735,90.0,top
D51,148.9075,-57.785,90.0,top
D52,144.145,-76.835,90.0,top
D53,153.67,-95.885,90.0,top
D54,137.00125,-114.935,90.0,top
D55,120.3325,-10.16,90.0,top
D56,139.3825,-38.735,90.0,top
D57,129.8575,-57.785,90.0,top
D58,125.095,-76.835,90.0,top
D59,134.62,-95.885,90.0,top
D6,309.72125,-95.885,90.0,top
D60,113.18875,-114.935,90.0,top
D61,101.2825,-10.16,90.0,top
D62,120.3325,-38.735,90.0,top
D63,110.8075,-57.785,90.0,top
